id,quadro,segundo,sentido,classe,velocidade_kmh
6,6,0.12,sentido B,carro,
11,68,1.36,sentido B,carro,
9,254,5.08,sentido B,caminhão,
22,254,5.08,sentido B,carro,
39,507,10.14,sentido B,carro,
45,507,10.14,sentido B,caminhão,
37,581,11.62,sentido B,carro,
52,603,12.06,sentido B,carro,
53,608,12.16,sentido B,caminhão,
66,942,18.84,sentido B,carro,
74,942,18.84,sentido B,caminhão,
75,1062,21.24,sentido B,carro,
82,1095,21.9,sentido B,carro,
77,1096,21.92,sentido B,carro,
79,1345,26.9,sentido B,carro,
102,1443,28.86,sentido B,carro,
96,1529,30.58,sentido B,carro,
104,1593,31.86,sentido B,carro,
117,1606,32.12,sentido B,carro,
108,1612,32.24,sentido B,carro,
121,1796,35.92,sentido B,carro,
123,1840,36.8,sentido B,carro,
97,1855,37.1,sentido B,caminhão,
126,2003,40.06,sentido B,moto,
132,2068,41.36,sentido B,carro,
145,2094,41.88,sentido B,carro,
138,2173,43.46,sentido B,carro,
171,2348,46.96,sentido B,carro,
181,2456,49.12,sentido B,carro,
174,2586,51.72,sentido B,carro,
199,2822,56.44,sentido B,carro,
204,2896,57.92,sentido B,carro,
206,2899,57.98,sentido B,caminhão,
211,2900,58.0,sentido B,carro,
212,2981,59.62,sentido B,carro,
