id,quadro,segundo,sentido,classe,velocidade_kmh
2,258,5.16,sentido A,caminhão,
5,262,5.24,sentido A,caminhão,
17,530,10.6,sentido B,caminhão,
18,554,11.08,sentido B,caminhão,
25,933,18.66,sentido B,carro,
30,1061,21.22,sentido B,caminhão,
40,1096,21.92,sentido B,carro,
59,1314,26.28,sentido B,carro,
61,1379,27.58,sentido B,caminhão,
65,1544,30.88,sentido B,caminhão,
75,1578,31.56,sentido A,moto,
83,1604,32.08,sentido B,carro,
78,1610,32.2,sentido A,caminhão,
90,1801,36.02,sentido B,caminhão,
101,1838,36.76,sentido B,carro,
105,2051,41.02,sentido B,caminhão,
123,2176,43.52,sentido B,caminhão,
142,2337,46.74,sentido B,caminhão,
148,2450,49.0,sentido B,carro,
159,2573,51.46,sentido B,caminhão,
165,2836,56.72,sentido B,caminhão,
170,2902,58.04,sentido B,caminhão,
178,2968,59.36,sentido A,carro,
